Strong	Word	Count
622	be lost 	5
622	lost 	4
622	miscellaneous 	2
623	Apollyon 	1
624	Apollonia 	1
625	Apollos 	10
626	answer 	3
626	answer for (one's) self 	3
626	make defence 	1
626	excuse 	1
626	excuse (one's) self 	1
626	speak for (one's) self 	1
627	defence 	3
627	answer 	3
627	answer for (one's) self 	1
627	clearing of (one's) self 	1
628	wash away 	1
628	wash 	1
629	redemption 	9
629	deliverance 	1
630	release 	17
630	put away 	14
630	send away 	13
630	let go 	13
630	set at liberty 	2
630	let depart 	2
630	dismiss 	2
630	miscellaneous 	6
631	wipe off 	1
632	give 	1
633	wash 	1
634	fall 	1
635	seduce 	1
635	err 	1
636	sail 	4
637	wash 	1
638	choke 	3
639	doubt 	2
639	be perplexed 	1
639	stand in doubt 	1
640	perplexity 	1
641	cast (one's) self 	1
642	take 	1
643	take up (one's) carriages 	1
644	shadow 	1
645	draw 	1
645	withdraw 	1
645	draw away 	1
645	be gotten 	1
646	to forsake 	1
646	falling away 	1
647	divorcement 	2
647	writing of divorcement 	1
648	uncover 	1
649	send 	110
649	send forth 	15
649	send away 	4
649	send out 	2
649	miscellaneous 	2
650	defraud 	4
650	destitute 	1
650	keep back by fraud 	1
651	apostleship 	4
652	apostle 	78
652	messenger 	2
652	he that is sent 	1
653	provoke to speak 	1
654	turn away 	4
654	turn away from 	2
654	put up again 	1
654	turn from 	1
654	bring again 	1
654	pervert 	1
655	abhor 	1
656	be put out of the synagogue 	2
656	put out of the synagogue	1
657	bid farewell 	2
657	take leave 	2
657	send away 	1
657	forsake 	1
658	finish 	1
659	put off 	2
659	lay aside 	2
659	lay down 	1
659	cast off 	1
659	put away 	1
659	lay apart 	1
660	shake off 	2
661	repay 	1
662	be very bold 	1
663	severity 	2
664	sharpness 	1
664	sharply 	1
665	turn away 	1
666	absence 	1
667	carry away 	3
667	carry 	1
667	bring 	1
668	escape 	2
668	escape from 	1
669	utterance 	1
669	speak forth 	1
669	say 	1
670	unlade 	1
671	using 	1
672	depart 	3
673	depart asunder 	1
673	depart 	1
674	heart failing 	1
675	Appii 	1
676	which no man can approach unto 1 	
677	void of offense 	1
677	none offence 	1
677	without offence 	1
678	without respect of persons 	1
679	keep from falling 	1
680	touch 	36
681	light 	3
681	kindle 	1
682	Apphia 	1
683	cast away 	2
683	thrust away 	1
683	put from 	1
683	thrust from 	1
683	put away 	1
684	perdition 	8
684	destruction 	5
684	waste 	2
684	damnable 	1
684	to die 	1
684	perish	1
684	pernicious 	1
685	cursing 	1
686	therefore 	7
686	so then	4
686	now therefore	1
686	then	2
686	wherefore	1
686	haply	1
686	not translated 	7
686	miscellaneous 	7
687	therefore 	1
687	not translated 	2
688	Arabia 	2
689	Aram 	3
690	Arabians 	1
691	linger 	1
692	idle 	6
692	slow 	1
692	barren 	1
693	silver 	2
693	of silver 	1
694	money 	11
694	piece of silver 	5
694	silver 	3
694	silver piece 	1
695	silversmith 	1
696	silver 	5
697	Areopagus 	1
697	Mars Hill 	1
698	Areopagite 	1
699	pleasing 	1
700	please 	17
701	those things that please 	1
701	reason 	1
701	please 	1
701	those things that are pleasing 	1
702	Aretas 	1
703	virtue 	4
703	praise 	1
704	lamb 	1
705	number 	3
706	number 	18
707	Arimathaea 	4
708	Aristarchus 	5
709	dine 	3
710	left hand 	1
710	left 	1
710	on the left 	1
711	Aristobulus 	1
712	dinner 	3
713	sufficient 	1
713	enough 	1
713	suffice 	1
714	be content 	3
714	be sufficient 	2
714	be enough 	1
714	suffice 	1
714	content 	1
715	bear 	1
716	chariot 	4
717	Armageddon 	1
718	espouse 	1
719	joint 	1
720	deny 	29
720	refuse 	2
721	Lamb i.e. Christ 	28
721	lamb 	2
722	plow 	3
723	plough 	1
724	extortion 	1
724	ravening 	1
724	spoiling 	1
725	robbery 	1
726	catch up 	4
726	take by force 	3
726	catch away 	2
726	pluck 	2
726	catch 	1
726	pull 	1
727	extortioner 	4
727	ravening 	1
728	earnest 	3
729	without seam 	1
730	male 	4
730	man 	3
730	man child 	1
730	man child 	1
731	unspeakable 	1
732	sick 	2
732	sick folk 	1
732	be sick 	1
732	sickly 	1
733	abuser of (one's) self with mankind 	1
733	defile (one's) self with mankind 	1
734	Artemas 	1
735	Diana 	5
736	mainsail 	1
737	now 	24
737	henceforth 	2
737	hereafter + (575) 	2
737	this present 	2
737	hitherto + (2193) 	2
737	miscellaneous 	4
738	newborn 	1
739	perfect 	1
740	bread 	72
740	loaf 	23
740	shewbread	4
741	season 	3
742	Arphaxad 	1
743	archangel 	2
744	old 	8
744	of old time 	3
744	a good while ago	1
745	Archelaus 	1
746	beginning 	40
746	principality 	8
746	corner 	2
746	first 	2
746	miscellaneous 	6
747	prince 	2
747	captain 	1
747	author 	1
748	of the high priest 	1
749	chief priest 	64
749	high priest 	58
749	chief of the priest 	1
750	chief shepherd 	1
751	Archippus 	2
752	ruler of the synagogue 	7
752	chief ruler of the synagogue 	2
753	masterbuilder 	1
754	chief among the publicans 	1
755	governor of the feast 	2
755	ruler of the feast 	1
756	begin 	83
756	rehearse from the beginning 	1
757	rule over 	1
757	reign over 	1
758	ruler 	22
758	prince 	11
